steerangle,speed,throttle,brake
0.0,7.4523534e-08,0.0,100.0
0.0,0.023953155,0.0,100.0
0.0,0.056828845,0.0,100.0
0.0,0.0812959,0.0,100.0
0.0,0.08978878,0.0,100.0
0.0,0.08881563,0.0,100.0
0.0,0.08143811,0.0,100.0
0.0,0.0732897,0.0,100.0
0.0,0.06279682,0.0,100.0
0.0,0.053626005,0.0,100.0
0.0,0.04707871,0.0,100.0
0.0,0.04119006,0.0,100.0
0.0,0.036541205,0.0,100.0
0.0,0.03303243,0.0,100.0
0.0,0.031404503,0.0,100.0
0.0,0.02768098,0.0,100.0
0.0,0.025227217,0.0,100.0
0.0,0.02337496,0.0,100.0
0.0,0.020295884,0.0,100.0
0.0,0.018683102,0.0,100.0
0.0,0.01687724,0.0,100.0
0.0,0.014314731,0.0,100.0
0.0,0.012593677,0.0,100.0
0.0,0.011032938,0.0,100.0
0.0,0.008818114,0.0,100.0
0.0,0.008658951,0.0,100.0
0.0,0.0081852,0.0,100.0
0.0,0.005693105,0.0,100.0
0.0,0.004091453,0.0,100.0
0.0,0.0033319842,0.0,100.0
0.0,0.0047519207,0.0,100.0
0.0,0.0065816976,0.0,100.0
0.0,0.00976048,0.0,100.0
0.0,0.010095681,0.0,100.0
0.0,0.0100718755,0.0,100.0
0.0,0.010269295,0.0,100.0
0.0,0.01047027,0.0,100.0
0.0,0.008968543,0.0,100.0
0.0,0.1291167,0.0,100.0
0.0,0.07409197,0.0,100.0
0.0,0.030458905,0.0,100.0
0.0,0.026273862,0.0,100.0
0.0,0.0356057,0.0,100.0
0.0,0.036903284,0.0,100.0
0.0,0.03355524,0.0,100.0
0.0,0.028516762,0.0,100.0
0.0,0.024193712,0.0,100.0
0.0,0.020257277,0.0,100.0
0.0,0.017501868,0.0,100.0
0.0,0.0158203,0.0,100.0
0.0,0.014330886,0.0,100.0
0.0,0.012911798,0.0,100.0
0.0,0.011634583,0.0,100.0
0.0,0.010121684,0.0,100.0
0.0,0.009898952,0.0,100.0
0.0,0.009826887,0.0,100.0
0.0,0.009559259,0.0,100.0
0.0,0.00881038,0.0,100.0
0.0,0.0074363877,0.0,100.0
0.0,0.0054010744,0.0,100.0
0.0,0.003166496,0.0,100.0
0.0,0.0018600204,0.0,100.0
0.0,0.002579771,0.0,100.0
0.0,0.0041506034,0.0,100.0
0.0,0.005321593,0.0,100.0
0.0,0.0063085216,0.0,100.0
0.0,0.0068704225,0.0,100.0
0.0,0.0070004403,0.0,100.0
0.0,0.006785958,0.0,100.0
0.0,0.0062815263,0.0,100.0
0.0,0.0056994963,0.0,100.0
0.0,0.004867661,0.0,100.0
0.0,0.0040135942,0.0,100.0
0.0,0.0033039623,0.0,100.0
