brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
321.65448,316.02826,333.75568,329.99692,27.035786,26.836008,27.032639,26.794008,84.10786,83.37872,90.325066,88.17384
321.01636,315.40292,333.26434,329.512,27.036339,26.835472,27.033333,26.793718,84.11345,83.372955,90.33212,88.17064
320.37894,314.77832,332.7733,329.0274,27.036884,26.834913,27.034035,26.793434,84.119026,83.36705,90.33934,88.16759
319.74203,314.1542,332.28235,328.5429,27.0374,26.834324,27.034698,26.793144,84.12422,83.36075,90.3461,88.1644
319.10602,313.5309,331.79184,328.0588,27.037884,26.833717,27.035309,26.792816,84.12908,83.35425,90.35226,88.16079
318.47052,312.90817,331.30145,327.5749,27.038334,26.833105,27.035913,26.792488,84.133705,83.34777,90.35846,88.15729
317.8359,312.2863,330.81146,327.09134,27.038815,26.832508,27.036533,26.79216,84.13852,83.341385,90.364746,88.153694
317.20197,311.665,330.32175,326.60803,27.039295,26.831911,27.037148,26.791828,84.143456,83.335075,90.37106,88.15015
316.5687,311.04446,329.8323,326.12503,27.039783,26.831324,27.037779,26.791512,84.14834,83.328766,90.37745,88.14667
315.93616,310.42456,329.3431,325.64227,27.040274,26.830734,27.03841,26.791195,84.15326,83.322426,90.383835,88.14319
315.3043,309.80536,328.85422,325.1598,27.040747,26.830132,27.039026,26.79087,84.15811,83.31608,90.390175,88.13971
314.67316,309.18686,328.36563,324.67755,27.041231,26.82955,27.03965,26.790554,84.16298,83.30984,90.396484,88.13625
314.04282,308.56912,327.87735,324.19568,27.041718,26.828968,27.040277,26.790243,84.16788,83.3036,90.402855,88.13284
313.41296,307.95187,327.38922,323.71396,27.04218,26.828377,27.040897,26.789932,84.1726,83.29736,90.40923,88.12951
312.78387,307.33533,326.90137,323.23248,27.042627,26.827766,27.041502,26.789616,84.17708,83.29081,90.41535,88.12604
312.15533,306.7194,326.41373,322.75122,27.043018,26.82712,27.042057,26.789272,84.18106,83.284004,90.421036,88.12236
311.52783,306.10434,325.92654,322.27045,27.043425,26.826511,27.042603,26.788912,84.18512,83.27747,90.42654,88.11843
310.90085,305.48987,325.43958,321.78986,27.043875,26.825918,27.043194,26.78859,84.18964,83.27113,90.432526,88.1149
310.2745,304.87604,324.95276,321.30945,27.0443,26.82531,27.043797,26.78828,84.19397,83.26471,90.43871,88.111595
309.64883,304.26285,324.46625,320.82925,27.044685,26.824694,27.04436,26.787945,84.19782,83.25812,90.444405,88.10792
309.024,303.65045,323.9801,320.3495,27.045053,26.824066,27.044888,26.787579,84.20148,83.2514,90.44974,88.10394
308.39978,303.0387,323.4942,319.86987,27.045443,26.823454,27.045435,26.787231,84.205444,83.24494,90.455345,88.100235
307.77634,302.42767,323.00864,319.39062,27.045858,26.822878,27.046019,26.786917,84.209625,83.23877,90.461266,88.096794
307.1536,301.81735,322.52332,318.91165,27.04628,26.822308,27.046606,26.786606,84.21381,83.23264,90.46722,88.09336
