gear,g_lon
0.0,-9.4920955e-07
0.0,0.0042271595
0.0,-0.015466736
0.0,-0.0027502128
0.0,0.012168219
0.0,0.013815673
0.0,0.0017022291
0.0,0.008948246
0.0,0.007045946
0.0,0.0066506206
0.0,0.0077846134
0.0,0.004120183
0.0,0.0020972206
0.0,-0.3131187
0.0,-0.028590223
0.0,0.0077835754
0.0,-1.9811408e-05
0.0,-0.0037190681
0.0,-0.007292334
0.0,-0.00029920533
0.0,-0.0024772424
0.0,-0.004702804
0.0,-0.0036643716
0.0,-0.00058193604
0.0,0.0018106764
0.0,0.0023343929
0.0,0.0008802062
0.0,-1.3233069e-05
0.0,-6.241567e-05
0.0,0.0002089708
0.0,0.0002986404
0.0,0.00021548447
0.0,0.0001040316
0.0,3.120503e-05
0.0,-9.773067e-06
0.0,-1.0455058e-06
0.0,-1.6836415e-05
0.0,-7.4887935e-06
0.0,8.360035e-06
0.0,-3.2073312e-06
0.0,-1.5805605e-05
0.0,-9.897382e-06
0.0,-5.565341e-06
0.0,-5.0906315e-06
0.0,-4.0531327e-06
0.0,-3.7549664e-06
0.0,3.0657841e-07
0.0,-7.13136e-07
0.0,-1.5293126e-07
0.0,2.900793e-06
0.0,3.3260335e-06
0.0,6.313515e-08
0.0,1.3078361e-06
0.0,4.8395602e-08
0.0,-4.0947705e-07
0.0,-3.964034e-07
0.0,-1.1075729e-06
0.0,1.4080739e-06
0.0,8.997262e-08
0.0,-2.9105643e-06
0.0,-9.3351724e-07
0.0,-3.712148e-07
0.0,1.840788e-07
0.0,-4.2383337e-07
0.0,-4.048826e-06
0.0,-7.655209e-08
0.0,9.72822e-08
0.0,-6.861778e-08
0.0,8.8176847e-07
0.0,-1.2054793e-06
0.0,1.1208656e-06
0.0,-0.00051301887
0.0,-0.0012886835
0.0,0.0007873845
0.0,0.0015153531
0.0,0.0009498355
0.0,-0.0003200816
0.0,-0.00065543293
0.0,-0.00031825784
0.0,1.8106975e-05
0.0,6.115651e-05
0.0,-5.61329e-05
0.0,-9.6262505e-05
0.0,-4.8037928e-05
0.0,-7.5704393e-06
0.0,-1.4021177e-05
0.0,-1.3080733e-05
0.0,-1.8458927e-06
0.0,8.935082e-06
0.0,3.506202e-06
0.0,1.8308683e-06
0.0,-0.000120962024
0.0,-0.00038014926
0.0,0.00016069938
0.0,0.00044769875
0.0,0.00027496254
0.0,-1.8752911e-05
0.0,-0.00019008828
0.0,-0.00010743767
0.0,-5.6825763e-07
0.0,1.6969534e-05
0.0,-1.8032451e-05
