steerangle,speed,throttle,brake
0.0,5.4702117e-08,0.0,100.0
0.0,0.005800785,0.0,100.0
0.0,0.01236823,0.0,100.0
0.0,0.016470362,0.0,100.0
0.0,0.019052384,0.0,100.0
0.0,0.018988656,0.0,100.0
0.0,0.017972872,0.0,100.0
0.0,0.0161197,0.0,100.0
0.0,0.014376548,0.0,100.0
0.0,0.01314692,0.0,100.0
0.0,0.011762952,0.0,100.0
0.0,0.01059123,0.0,100.0
0.0,0.0096704,0.0,100.0
0.0,0.009888653,0.0,100.0
0.0,0.009587051,0.0,100.0
0.0,0.009588411,0.0,100.0
0.0,0.009631258,0.0,100.0
0.0,0.00941265,0.0,100.0
0.0,0.008683292,0.0,100.0
0.0,0.00731254,0.0,100.0
0.0,0.0056817937,0.0,100.0
0.0,0.0041691964,0.0,100.0
0.0,0.0025900677,0.0,100.0
0.0,0.0014008076,0.0,100.0
0.0,0.001010542,0.0,100.0
0.0,0.0013441746,0.0,100.0
0.0,0.0017471636,0.0,100.0
0.0,0.0020849698,0.0,100.0
0.0,0.0022601155,0.0,100.0
0.0,0.0024010343,0.0,100.0
0.0,0.0024787274,0.0,100.0
0.0,0.002484566,0.0,100.0
0.0,0.0025235815,0.0,100.0
0.0,0.0024982581,0.0,100.0
0.0,0.0025229813,0.0,100.0
0.0,0.0025365886,0.0,100.0
0.0,0.0025010724,0.0,100.0
0.0,0.08552123,0.0,100.0
0.0,0.18112451,0.0,100.0
0.0,0.21241355,0.0,100.0
0.0,0.13452515,0.0,100.0
0.0,0.16678587,0.0,100.0
0.0,0.13255082,0.0,100.0
0.0,0.079582915,0.0,100.0
0.0,0.067069136,0.0,100.0
0.0,0.08340906,0.0,100.0
0.0,0.085354574,0.0,100.0
0.0,0.07261571,0.0,100.0
0.0,0.05747871,0.0,100.0
0.0,0.04241977,0.0,100.0
0.0,0.03184256,0.0,100.0
0.0,0.025917683,0.0,100.0
0.0,0.022124153,0.0,100.0
0.0,0.019717727,0.0,100.0
0.0,0.017962903,0.0,100.0
0.0,0.015767304,0.0,100.0
0.0,0.013713805,0.0,100.0
0.0,0.011926142,0.0,100.0
0.0,0.01015694,0.0,100.0
0.0,0.00974545,0.0,100.0
0.0,0.009559526,0.0,100.0
0.0,0.009567789,0.0,100.0
0.0,0.008555817,0.0,100.0
0.0,0.0071624,0.0,100.0
0.0,0.0049928427,0.0,100.0
0.0,0.0030509406,0.0,100.0
0.0,0.0026388897,0.0,100.0
0.0,0.0035734014,0.0,100.0
0.0,0.0046354425,0.0,100.0
0.0,0.0056310827,0.0,100.0
0.0,0.0064843427,0.0,100.0
0.0,0.00682582,0.0,100.0
0.0,0.0070342263,0.0,100.0
0.0,0.0068120765,0.0,100.0
0.0,0.0065817856,0.0,100.0
0.0,0.006352383,0.0,100.0
0.0,0.005947076,0.0,100.0
0.0,0.005662687,0.0,100.0
0.0,0.00532681,0.0,100.0
0.0,0.005120609,0.0,100.0
0.0,0.0049958983,0.0,100.0
0.0,0.004816094,0.0,100.0
0.0,0.0047104494,0.0,100.0
0.0,0.0044991244,0.0,100.0
0.0,0.0043841903,0.0,100.0
0.0,0.004234877,0.0,100.0
0.0,0.00401479,0.0,100.0
0.0,0.003896445,0.0,100.0
0.0,0.0037782842,0.0,100.0
0.0,0.0036867738,0.0,100.0
0.0,0.0035608306,0.0,100.0
0.0,0.003444861,0.0,100.0
0.0,0.0032560134,0.0,100.0
0.0,0.0030443484,0.0,100.0
0.0,0.0027116146,0.0,100.0
0.0,0.0023565693,0.0,100.0
0.0,0.0020422067,0.0,100.0
0.0,0.0016932873,0.0,100.0
0.0,0.001398102,0.0,100.0
0.0,0.0012247616,0.0,100.0
0.0,0.0010930715,0.0,100.0
0.0,0.0010142309,0.0,100.0
0.0,0.00096729724,0.0,100.0
0.0,0.0009447252,0.0,100.0
0.0,0.00092888315,0.0,100.0
0.0,0.00089856057,0.0,100.0
0.0,0.00084835663,0.0,100.0
0.0,0.00077251595,0.0,100.0
0.0,0.0006966815,0.0,100.0
0.0,0.0006043028,0.0,100.0
0.0,0.00050440844,0.0,100.0
0.0,0.00042102873,0.0,100.0
0.0,0.00033183623,0.0,100.0
0.0,0.0002535674,0.0,100.0
0.0,0.00019728411,0.0,100.0
0.0,0.00013991415,0.0,100.0
0.0,9.143729e-05,0.0,100.0
0.0,5.7381098e-05,0.0,100.0
0.0,2.3979977e-05,0.0,100.0
0.0,4.617185e-06,0.0,100.0
0.0,2.3381055e-05,0.0,100.0
0.0,4.0733714e-05,0.0,100.0
0.0,5.111309e-05,0.0,100.0
0.0,5.7743266e-05,0.0,100.0
0.0,6.3683576e-05,0.0,100.0
0.0,7.2029165e-05,0.0,100.0
0.0,8.0702346e-05,0.0,100.0
0.0,8.895616e-05,0.0,100.0
0.0,9.507313e-05,0.0,100.0
0.0,9.646842e-05,0.0,100.0
0.0,9.6875345e-05,0.0,100.0
0.0,9.575027e-05,0.0,100.0
0.0,9.468499e-05,0.0,100.0
0.0,9.324732e-05,0.0,100.0
0.0,9.230462e-05,0.0,100.0
0.0,9.0239504e-05,0.0,100.0
0.0,8.841231e-05,0.0,100.0
0.0,8.6477376e-05,0.0,100.0
0.0,8.406039e-05,0.0,100.0
0.0,8.1451944e-05,0.0,100.0
0.0,7.809625e-05,0.0,100.0
0.0,7.4260024e-05,0.0,100.0
0.0,7.005809e-05,0.0,100.0
