gear,g_lon
0.0,-2.4587052e-07
0.0,0.013025361
0.0,-0.005083246
0.0,-0.008220216
0.0,-0.0038813236
0.0,-0.0046561393
0.0,8.96905e-05
0.0,-0.0027919728
0.0,-0.004127602
0.0,-0.0027063866
0.0,-0.0015992235
0.0,0.00014998013
0.0,0.00017571141
0.0,-0.19041894
0.0,-0.06735068
0.0,-0.14476174
0.0,0.07215641
0.0,0.017631216
0.0,-0.0051273173
0.0,-0.010442077
0.0,-0.0047757393
0.0,0.0004851389
0.0,-0.004402012
0.0,-0.005871468
0.0,-0.0014177056
0.0,0.00023517983
0.0,0.0010454726
0.0,0.0005497041
0.0,-3.336926e-05
0.0,0.00010352226
0.0,0.00042743943
0.0,0.0005691537
0.0,0.0007597475
0.0,0.000628321
0.0,0.00022539406
0.0,0.000100089506
0.0,0.00013828976
0.0,0.0002293342
0.0,0.00011112224
0.0,0.00015843875
0.0,7.653482e-05
0.0,-3.691085e-05
0.0,2.168047e-05
0.0,1.3406907e-05
0.0,-3.4216042e-05
0.0,2.4437977e-06
0.0,-4.9301207e-06
0.0,-9.565709e-06
0.0,-1.1327463e-05
0.0,-4.59363e-06
0.0,-1.4836408e-05
0.0,-1.2567947e-05
0.0,-5.696747e-06
0.0,-6.2266267e-06
0.0,-7.268021e-06
0.0,-2.9938253e-06
0.0,-1.4770458e-06
0.0,-2.2986221e-06
0.0,-2.3994906e-07
0.0,-1.9630055e-07
0.0,1.5368153e-07
0.0,1.7640707e-06
0.0,-2.1781498e-06
0.0,2.2487104e-06
0.0,1.8398662e-06
0.0,-6.2200326e-07
0.0,-3.004038e-07
0.0,1.1384146e-06
0.0,1.0513681e-06
0.0,-2.5867662e-06
0.0,-3.7980144e-06
0.0,1.558845e-06
0.0,-8.3456393e-07
0.0,-1.2884426e-06
0.0,1.6119169e-07
0.0,3.7374803e-06
0.0,2.7066548e-07
0.0,-9.676781e-07
0.0,-0.00024853487
0.0,-0.00017036103
0.0,0.00022456338
0.0,0.00028895284
0.0,0.00011527186
0.0,-6.628741e-05
0.0,-0.000119896606
0.0,-4.6878426e-06
0.0,2.9080546e-05
0.0,-5.6421627e-06
0.0,-3.088901e-05
0.0,-1.9376514e-05
0.0,-9.971082e-06
0.0,-7.637804e-06
0.0,-7.798181e-06
0.0,-6.0956772e-06
0.0,-4.675576e-06
0.0,2.6476422e-07
0.0,9.04371e-08
