g_lat,roty
8.337319e-08,3.2106495e-08
-0.001497639,0.00014637789
0.00071938743,9.773518e-05
0.0007892882,1.329816e-05
-0.00021177705,-1.40015645e-05
0.000109356144,-7.629635e-06
0.00011877951,2.475169e-06
-2.0445861e-05,1.033327e-05
4.144041e-05,3.7154373e-06
2.4876326e-05,-1.7207013e-06
-1.2935344e-05,-1.1127659e-06
-2.830429e-06,-1.1491144e-06
3.925763e-06,1.5036603e-07
0.0031605458,0.00016834645
-0.0011512258,-4.952962e-05
-0.0025896558,-4.945244e-05
-0.00017438846,-3.2764787e-05
8.972901e-05,1.726652e-05
-2.1466909e-05,1.1285817e-05
1.7493248e-05,-1.0883022e-05
5.2505064e-05,3.0781198e-06
2.0504396e-05,-6.057588e-07
1.8859017e-05,8.333658e-07
6.79344e-06,-1.2728549e-06
-5.5206747e-06,-1.9421457e-06
2.757434e-06,-1.3390311e-06
4.5865972e-06,-1.159661e-06
4.1590333e-06,-8.797464e-07
1.1323352e-07,-8.270383e-07
-2.557273e-07,-6.045153e-07
1.0151272e-06,-4.856864e-07
7.3281444e-07,-8.8813835e-07
-6.356985e-07,-7.358501e-07
2.0750021e-07,4.728152e-07
4.1947806e-06,1.7622652e-07
-9.501478e-07,1.4663526e-07
-4.4930807e-06,-2.600127e-08
-5.575447e-06,-4.4986137e-08
5.238849e-07,6.925405e-08
-2.2335055e-06,2.474325e-07
-1.0673148e-06,7.845525e-09
-2.3628702e-06,1.6687144e-08
-2.9035664e-07,-4.6044892e-08
-4.175878e-07,7.7614004e-08
-2.595115e-06,-4.602868e-08
-1.489911e-06,2.895868e-07
1.7420188e-06,1.8071772e-07
1.7933703e-06,5.1701907e-08
-9.908058e-07,-3.0699752e-08
9.11566e-07,-6.5775424e-08
-4.0253988e-07,-2.0700007e-08
2.584324e-07,6.702362e-08
-3.610494e-06,4.8139604e-08
-3.0678433e-07,1.5240433e-08
1.1744445e-06,5.6334553e-08
1.0704392e-06,9.992474e-08
-3.6131412e-06,-4.458241e-08
8.1583255e-07,-1.1452682e-08
-5.88727e-07,2.845593e-08
1.9124342e-07,-1.3075625e-07
2.8964641e-06,6.156977e-08
1.8770559e-06,2.2925857e-07
1.1676543e-06,7.982396e-08
-2.7657468e-06,-5.2314526e-08
7.0066167e-06,1.005542e-07
-1.4087386e-06,-5.2569952e-08
2.5265417e-06,1.005274e-07
-2.1149885e-06,-7.7947554e-08
-9.1494246e-07,-8.4480156e-08
-1.713652e-06,7.009354e-08
9.389678e-07,1.507251e-07
-2.0007897e-06,-7.526702e-08
4.1080602e-06,2.7886173e-08
3.8577728e-06,7.997132e-08
-2.3079583e-06,-1.1258172e-07
3.7567215e-06,4.4146166e-08
7.3781945e-07,-8.638065e-09
2.177306e-06,-5.8094194e-08
4.6617033e-06,3.1672847e-08
1.953243e-06,5.56228e-08
-4.903644e-07,-8.2107114e-08
-6.831355e-08,-4.659018e-08
-2.437e-06,-1.3583843e-07
9.4934745e-07,1.2764279e-07
-1.1373098e-06,-1.9139375e-07
4.6011837e-06,1.15008326e-07
9.057568e-07,1.2795644e-07
-6.136201e-07,1.6013965e-07
7.723496e-07,2.7279343e-08
1.4855922e-06,-3.222095e-08
5.9508534e-07,-7.302132e-08
1.0593692e-06,-4.782847e-08
9.344288e-07,1.6227392e-07
3.12859e-06,1.2244423e-07
-1.8748138e-06,1.7872622e-08
-4.8395685e-07,4.2496648e-08
2.9511446e-06,6.510243e-08
1.6454294e-07,1.8606626e-08
-2.460373e-06,-2.7454686e-07
1.1320742e-06,9.044094e-08
-1.748888e-06,6.981834e-08
-2.9771404e-06,-1.09424334e-07
-2.6265357e-07,-4.3885866e-08
2.891921e-06,3.243113e-08
4.5911174e-06,1.9881338e-07
2.1962308e-06,1.1330797e-07
-2.9041334e-07,-5.756997e-08
3.921745e-07,2.1377026e-08
-7.796885e-07,-1.0047369e-07
-2.2423708e-06,-1.09295605e-07
1.2733482e-06,2.7644205e-08
-2.5678136e-07,1.6286863e-07
1.8415183e-07,-3.1563232e-08
6.0154105e-07,-1.4019938e-07
1.1562934e-06,-1.2812687e-07
6.5568076e-07,-3.7697443e-08
1.5875896e-06,5.6166987e-09
-2.7710507e-06,-2.4972632e-08
-3.8747016e-06,-1.3636604e-07
2.5216798e-06,-7.844411e-08
1.2506107e-06,-1.3548432e-09
5.0844784e-07,9.697012e-09
9.668612e-07,6.9330454e-08
7.0499386e-06,2.3416236e-07
9.741063e-07,-2.0603217e-08
-1.9483774e-07,-1.1969391e-07
-2.6165133e-06,-1.6585817e-08
1.2044418e-06,6.349252e-08
8.6863315e-07,1.374838e-07
9.652181e-07,5.5331824e-08
1.225227e-07,7.276329e-09
9.944172e-07,1.4011164e-07
-3.9437572e-07,5.5579625e-09
-7.010588e-07,3.5717733e-08
4.9053966e-07,-4.095845e-08
3.8032351e-06,5.0204452e-08
2.8705347e-06,3.9333795e-08
1.9087436e-06,8.111608e-08
-2.0261353e-08,1.0591599e-07
-2.6953608e-06,-1.3596161e-07
-2.3159816e-07,-1.2858092e-07
3.266834e-07,-8.151518e-08
1.6880044e-06,2.8659302e-08
-1.3974515e-06,-6.406211e-08
-5.3818063e-08,8.732387e-08
1.2836001e-06,2.907559e-07
-3.839247e-06,-5.2395258e-08
7.4472227e-06,7.950653e-08
5.400313e-07,4.4874092e-08
-9.804752e-07,6.1312896e-08
1.0980084e-06,-2.0402181e-08
-2.9098248e-06,1.9487969e-08
5.0386285e-07,-7.706674e-08
-2.1732576e-06,-1.4013182e-07
3.7081134e-07,-1.2145676e-08
7.949885e-07,5.7394686e-08
1.3936411e-06,-6.31212e-09
1.5911767e-06,-3.7213825e-09
-2.2073107e-06,3.1772473e-08
-2.0232363e-07,5.7918232e-08
3.899194e-07,-2.6729943e-08
3.1476638e-06,1.1836149e-07
1.363106e-06,-1.3257788e-07
1.621435e-06,-3.8202703e-08
2.037884e-06,7.778573e-08
1.1346793e-06,-3.4239076e-08
-0.013346529,0.00030097677
0.010389011,0.00024419813
0.01069718,0.0017130945
0.04871289,-0.008632711
-0.048309475,0.0041829734
-0.057280295,-1.5914813e-05
0.0026357635,0.0035541318
-0.02934691,-0.0025370377
0.0300852,-0.013304656
-0.047985684,0.0069221137
-0.012210204,-0.00048188673
0.0007251986,0.00012826799
-0.0040214984,-0.001381691
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
