gear,g_lon
0.0,0.022363022
0.0,0.02700839
0.0,-0.18188839
0.0,0.06785
0.0,0.28969398
0.0,0.041238945
0.0,0.10312858
0.0,0.22851802
0.0,-0.37247688
0.0,0.117147736
0.0,0.18214186
0.0,-0.015891667
0.0,-0.038229574
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.029976347
0.0,0.028123321
0.0,-0.18283683
0.0,0.05461246
0.0,0.29129985
0.0,0.043833513
0.0,0.10258874
0.0,0.2260195
0.0,-0.3803931
0.0,0.18458301
0.0,0.20820048
0.0,-0.02625422
0.0,-0.043634422
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.07135595
0.0,-0.098647095
0.0,-0.33032605
0.0,-0.1345139
0.0,0.052911624
0.0,-0.00039566783
0.0,-0.010936688
0.0,0.00029576814
0.0,-0.0018749014
0.0,0.0046270955
0.0,-0.001203186
0.0,-0.0009486925
0.0,-0.00093786104
0.0,-0.00087523146
0.0,-0.0005684649
0.0,-0.00056655443
0.0,-0.0009085607
0.0,-0.0006083893
0.0,-0.00021611086
0.0,-0.00014295598
0.0,-0.00022711481
0.0,-0.0002098434
0.0,-0.00011123817
0.0,-8.079939e-05
0.0,-6.486255e-05
0.0,-5.475412e-05
0.0,-5.0046197e-05
0.0,-3.7738737e-05
0.0,-2.5258129e-05
0.0,-1.9102023e-05
0.0,-1.7512004e-05
0.0,-1.4552998e-05
0.0,-1.0946852e-05
0.0,-9.011714e-06
0.0,-9.8167175e-06
0.0,-5.3022954e-06
0.0,-3.4973425e-06
0.0,-3.240655e-06
0.0,-2.4509793e-06
0.0,-2.3134685e-06
0.0,-1.0438347e-06
0.0,8.875331e-07
0.0,-5.504253e-06
0.0,8.399543e-08
0.0,-2.4628434e-06
0.0,1.0423702e-06
0.0,-1.1701306e-07
0.0,-3.4101015e-07
0.0,-3.9840864e-07
0.0,-1.758432e-07
0.0,0.0011324438
0.0,0.00069098943
0.0,0.00039091965
0.0,-0.0017939678
0.0,-0.0014639491
0.0,-0.0001800374
0.0,0.0006616167
0.0,0.0004983026
0.0,-8.720027e-05
0.0,-0.00015143881
0.0,3.082789e-05
0.0,0.00014800724
0.0,0.00016176868
0.0,5.357113e-05
0.0,2.452272e-05
0.0,2.8229466e-05
0.0,2.3269555e-05
0.0,1.3123644e-05
0.0,7.364392e-06
0.0,7.928593e-06
0.0,2.9991565e-07
0.0,2.1627657e-06
0.0,-3.2430887e-06
0.0,-2.1681902e-08
0.0,-1.4587297e-06
0.0,-1.9662798e-06
0.0,-4.6687524e-06
0.0,-2.990733e-06
0.0,-3.632866e-06
0.0,-3.2394205e-06
0.0,-3.1285217e-06
0.0,-1.6081417e-06
0.0,-4.183329e-06
0.0,-2.9336977e-06
0.0,-3.8346025e-07
0.0,-5.2885804e-07
0.0,4.7263683e-07
0.0,-1.4384495e-06
0.0,-2.1696017e-06
0.0,1.0910134e-06
0.0,-5.252462e-07
0.0,-1.7513337e-07
0.0,-6.2286904e-07
0.0,2.8679538e-06
0.0,1.4444657e-06
0.0,-2.8537605e-07
0.0,-1.6691901e-07
0.0,6.318094e-08
0.0,1.8968814e-06
0.0,-5.5772824e-07
0.0,-1.4509314e-06
0.0,-2.1522567e-07
0.0,-4.452613e-08
0.0,-3.2213225e-07
0.0,9.542913e-07
0.0,-2.4652281e-06
0.0,3.0768757e-07
0.0,-1.4683328e-06
0.0,1.6320474e-06
0.0,-2.4124392e-07
0.0,-1.8359978e-07
0.0,-1.4816898e-06
0.0,-1.9525623e-07
0.0,1.8853691e-06
0.0,3.2420746e-07
0.0,1.2889186e-06
0.0,1.3274562e-06
0.0,-1.7477341e-06
0.0,3.4904767e-07
0.0,-1.1859399e-06
0.0,2.6307262e-06
0.0,-3.3641288e-07
0.0,4.2615898e-07
0.0,1.2521286e-06
0.0,1.9506449e-07
0.0,-1.2288627e-06
0.0,5.766455e-07
0.0,1.9143788e-06
0.0,-1.2933191e-07
0.0,-1.4841868e-07
0.0,-2.386644e-06
0.0,4.7659938e-08
0.0,-2.3947626e-07
0.0,-1.6945658e-06
0.0,2.2672086e-06
0.0,-1.0543055e-06
0.0,6.0753473e-07
0.0,-3.9228003e-06
0.0,-1.7503371e-06
0.0,-7.961496e-07
0.0,-1.6689754e-06
0.0,-3.9468656e-08
