steerangle,speed,throttle,brake
0.0,1.0545132e-07,0.0,100.0
0.0,0.0057267197,0.0,100.0
0.0,0.01261168,0.0,100.0
0.0,0.016654415,0.0,100.0
0.0,0.019222848,0.0,100.0
0.0,0.019491594,0.0,100.0
0.0,0.018319914,0.0,100.0
0.0,0.016565472,0.0,100.0
0.0,0.01485143,0.0,100.0
0.0,0.013608639,0.0,100.0
0.0,0.012345961,0.0,100.0
0.0,0.01121633,0.0,100.0
0.0,0.010324586,0.0,100.0
0.0,0.00972054,0.0,100.0
0.0,0.009833807,0.0,100.0
0.0,0.009610888,0.0,100.0
0.0,0.009502576,0.0,100.0
0.0,0.009612468,0.0,100.0
0.0,0.009070213,0.0,100.0
0.0,0.007779539,0.0,100.0
0.0,0.00604981,0.0,100.0
0.0,0.0043917936,0.0,100.0
0.0,0.0025843522,0.0,100.0
0.0,0.0014076653,0.0,100.0
0.0,0.0016908742,0.0,100.0
0.0,0.0027554415,0.0,100.0
0.0,0.003736575,0.0,100.0
0.0,0.004376086,0.0,100.0
0.0,0.004819022,0.0,100.0
0.0,0.004918153,0.0,100.0
0.0,0.0048505752,0.0,100.0
0.0,0.004590114,0.0,100.0
0.0,0.0042593023,0.0,100.0
0.0,0.0039705005,0.0,100.0
0.0,0.003650192,0.0,100.0
0.0,0.003389548,0.0,100.0
0.0,0.0031800976,0.0,100.0
0.0,0.08436388,0.0,100.0
0.0,0.18236095,0.0,100.0
0.0,0.21223538,0.0,100.0
0.0,0.12615725,0.0,100.0
0.0,0.16337623,0.0,100.0
0.0,0.13056089,0.0,100.0
0.0,0.08587257,0.0,100.0
0.0,0.06964624,0.0,100.0
0.0,0.085231386,0.0,100.0
0.0,0.08942785,0.0,100.0
0.0,0.07749919,0.0,100.0
0.0,0.06344477,0.0,100.0
0.0,0.048347212,0.0,100.0
0.0,0.037031755,0.0,100.0
0.0,0.030057656,0.0,100.0
0.0,0.024656564,0.0,100.0
0.0,0.021134248,0.0,100.0
0.0,0.018837044,0.0,100.0
0.0,0.016278228,0.0,100.0
0.0,0.013749849,0.0,100.0
0.0,0.011993934,0.0,100.0
0.0,0.01018451,0.0,100.0
0.0,0.009604634,0.0,100.0
0.0,0.009422026,0.0,100.0
0.0,0.008738728,0.0,100.0
0.0,0.0066856635,0.0,100.0
0.0,0.004376354,0.0,100.0
0.0,0.0026386993,0.0,100.0
0.0,0.004393853,0.0,100.0
0.0,0.0068081478,0.0,100.0
0.0,0.009120944,0.0,100.0
0.0,0.009546935,0.0,100.0
0.0,0.009810418,0.0,100.0
0.0,0.009877324,0.0,100.0
0.0,0.009685607,0.0,100.0
0.0,0.009579177,0.0,100.0
0.0,0.009194876,0.0,100.0
0.0,0.008459199,0.0,100.0
0.0,0.0076215104,0.0,100.0
0.0,0.0067557096,0.0,100.0
0.0,0.0060632466,0.0,100.0
0.0,0.005628344,0.0,100.0
0.0,0.0052401703,0.0,100.0
0.0,0.0050088735,0.0,100.0
0.0,0.004848671,0.0,100.0
0.0,0.004726056,0.0,100.0
0.0,0.004572347,0.0,100.0
0.0,0.004430471,0.0,100.0
0.0,0.0042252974,0.0,100.0
0.0,0.0039413217,0.0,100.0
0.0,0.0036710454,0.0,100.0
0.0,0.0033177598,0.0,100.0
0.0,0.0029525221,0.0,100.0
0.0,0.0026448627,0.0,100.0
0.0,0.0023070618,0.0,100.0
0.0,0.0019910731,0.0,100.0
0.0,0.001744724,0.0,100.0
0.0,0.0014830014,0.0,100.0
0.0,0.001249765,0.0,100.0
0.0,0.0010694179,0.0,100.0
0.0,0.0008776912,0.0,100.0
0.0,0.00070448016,0.0,100.0
0.0,0.00057361636,0.0,100.0
0.0,0.00043793133,0.0,100.0
0.0,0.0003197333,0.0,100.0
0.0,0.0002287194,0.0,100.0
0.0,0.00014125076,0.0,100.0
0.0,6.233964e-05,0.0,100.0
0.0,1.3611675e-05,0.0,100.0
0.0,7.031247e-05,0.0,100.0
0.0,0.00012964776,0.0,100.0
0.0,0.00017360815,0.0,100.0
0.0,0.00021359629,0.0,100.0
0.0,0.00024095312,0.0,100.0
0.0,0.00025249744,0.0,100.0
0.0,0.0002640505,0.0,100.0
0.0,0.00027286346,0.0,100.0
0.0,0.00028085595,0.0,100.0
0.0,0.00028986792,0.0,100.0
0.0,0.00029859558,0.0,100.0
0.0,0.0003050024,0.0,100.0
0.0,0.00030902724,0.0,100.0
0.0,0.00030883856,0.0,100.0
0.0,0.00030501751,0.0,100.0
0.0,0.00029501325,0.0,100.0
0.0,0.000280095,0.0,100.0
0.0,0.0002635418,0.0,100.0
0.0,0.00024329421,0.0,100.0
0.0,0.00022157702,0.0,100.0
0.0,0.00020316037,0.0,100.0
0.0,0.00018295513,0.0,100.0
0.0,0.00016488523,0.0,100.0
0.0,0.00015116451,0.0,100.0
0.0,0.00013646872,0.0,100.0
0.0,0.00012314586,0.0,100.0
0.0,0.00011200365,0.0,100.0
0.0,9.9061086e-05,0.0,100.0
0.0,8.624509e-05,0.0,100.0
0.0,7.557862e-05,0.0,100.0
0.0,6.4066364e-05,0.0,100.0
0.0,5.2979434e-05,0.0,100.0
0.0,4.380905e-05,0.0,100.0
0.0,3.3507185e-05,0.0,100.0
0.0,2.3713712e-05,0.0,100.0
0.0,1.6081263e-05,0.0,100.0
0.0,7.912536e-06,0.0,100.0
0.0,1.9014817e-06,0.0,100.0
0.0,5.4875973e-06,0.0,100.0
0.0,1.0910594e-05,0.0,100.0
0.0,1.5710702e-05,0.0,100.0
0.0,1.9654894e-05,0.0,100.0
0.0,2.293557e-05,0.0,100.0
0.0,2.5533012e-05,0.0,100.0
0.0,2.7121143e-05,0.0,100.0
0.0,2.843925e-05,0.0,100.0
0.0,2.9338307e-05,0.0,100.0
0.0,2.9813491e-05,0.0,100.0
0.0,2.973922e-05,0.0,100.0
